pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
193.976,-77.442,180.0,top,J1,,,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,VDC_IN,tht
213.976,-77.442,180.0,top,J2,,,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,VDC_OUT1,tht
223.976,-77.442,180.0,top,J3,,,Molex_Mini-Fit_Jr_5566-02A_2x01_P4.20mm_Vertical,VDC_OUT2,tht
174.244,-97.028,0.0,top,R1,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.254,-171.958,0.0,top,R10,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.254,-186.944,0.0,top,R11,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.254,-201.93,0.0,top,R12,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.249,-164.338,0.0,bottom,R13,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.254,-179.324,0.0,bottom,R14,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.254,-194.31,0.0,bottom,R15,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.254,-209.296,0.0,bottom,R16,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.244,-112.014,0.0,top,R2,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.249,-127.0,0.0,top,R3,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.249,-141.986,0.0,top,R4,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.249,-104.394,0.0,bottom,R5,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.249,-119.38,0.0,bottom,R6,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.249,-134.366,0.0,bottom,R7,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.249,-149.352,0.0,bottom,R8,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
174.254,-156.972,0.0,top,R9,,,R_Axial_Power_L60.0mm_W14.0mm_P66.04mm,10k,tht
